par_interacao
Chamaecrista cipoana | eatenBy | Camponotus rufipes
Syagrus glaucescens | eatenBy | Camponotus rufipes
Cuphea ericoides | eatenBy | Camponotus rufipes
Byrsonima variabilis | eatenBy | Camponotus rufipes
Tetrapterys microphylla | eatenBy | Camponotus rufipes
Croton | eatenBy | Camponotus rufipes
Vellozia alutacea | eatenBy | Camponotus rufipes
Vellozia nivea | eatenBy | Camponotus rufipes
Barbacenia flava | eatenBy | Camponotus rufipes
Microlicia fulva | eatenBy | Camponotus rufipes
Qualea cordata | eatenBy | Camponotus rufipes
Chamaecrista ramosa | eatenBy | Camponotus rufipes
Trembleya laniflora | eatenBy | Camponotus rufipes
Erythroxylum campestre | eatenBy | Camponotus rufipes
Remijia ferruginea | eatenBy | Camponotus rufipes
Davilla elliptica | eatenBy | Camponotus rufipes
Philodendron cipoense | eatenBy | Camponotus rufipes
Ouratea semiserrata | eatenBy | Camponotus rufipes
Chamaecrista papillata | eatenBy | Pseudomyrmex pallidus
Myrsine monticola | eatenBy | Pseudomyrmex pallidus
Vellozia aloifolia | eatenBy | Pseudomyrmex pallidus
Banisteriopsis angustifolia | eatenBy | Pseudomyrmex pallidus
Croton | eatenBy | Pseudomyrmex pallidus
Baccharis concinna | eatenBy | Pseudomyrmex pallidus
Vellozia nivea | eatenBy | Pseudomyrmex pallidus
Chamaecrista ramosa | eatenBy | Pseudomyrmex pallidus
Vellozia alutacea | eatenBy | Pseudomyrmex pallidus
Lavoisiera | eatenBy | Pseudomyrmex pallidus
Hyptis | eatenBy | Pseudomyrmex pallidus
Barbacenia flava | eatenBy | Pseudomyrmex pallidus
Vellozia alata | eatenBy | Pseudomyrmex pallidus
Aspilia jolyana | eatenBy | Pseudomyrmex pallidus
Symphyopappus reticulatus | eatenBy | Pseudomyrmex pallidus
Sapium glandulosum | eatenBy | Pseudomyrmex pallidus
Lychnophora ramosissima | eatenBy | Pseudomyrmex pallidus
Camptosema coriaceum | eatenBy | Pseudomyrmex pallidus
Banisteriopsis campestris | eatenBy | Linepithema
Symphyopappus reticulatus | eatenBy | Linepithema
Vellozia alutacea | eatenBy | Camponotus blandus
Tetrapterys microphylla | eatenBy | Camponotus blandus
Kielmeyera regalis | eatenBy | Camponotus blandus
Barbacenia flava | eatenBy | Camponotus blandus
Davilla elliptica | eatenBy | Camponotus blandus
Ramedia pauperata | symbiontOf | Camponotus blandus
Guayaquila xiphias | symbiontOf | Camponotus blandus
Enchenopa gracilis | symbiontOf | Camponotus blandus
Guayaquila xiphias | mutualistOf | Camponotus blandus
Ramedia pauperata | mutualistOf | Camponotus blandus
Enchenopa gracilis | mutualistOf | Camponotus blandus
Calotropis procera | pollinatedBy | Camponotus blandus
Chamaecrista papillata | eatenBy | Brachymyrmex cordemoyi
Palicourea rigida | eatenBy | Brachymyrmex cordemoyi
Vellozia alata | eatenBy | Brachymyrmex cordemoyi
Roupala mayana | eatenBy | Brachymyrmex cordemoyi
Myrsine monticola | eatenBy | Brachymyrmex cordemoyi
Symphyopappus reticulatus | eatenBy | Brachymyrmex cordemoyi
Lippia florida | eatenBy | Brachymyrmex cordemoyi
Philodendron cipoense | eatenBy | Brachymyrmex cordemoyi
Vellozia nivea | eatenBy | Brachymyrmex cordemoyi
Myrcia | eatenBy | Brachymyrmex cordemoyi
Sapium glandulosum | eatenBy | Brachymyrmex cordemoyi
Eriope hypoleuca | eatenBy | Brachymyrmex cordemoyi
Gaylussacia montana | eatenBy | Brachymyrmex cordemoyi
Lychnophora ramosissima | eatenBy | Brachymyrmex cordemoyi
Aspilia jolyana | eatenBy | Brachymyrmex cordemoyi
Vellozia alutacea | eatenBy | Brachymyrmex cordemoyi
Baccharis concinna | eatenBy | Brachymyrmex cordemoyi
Tetrapterys microphylla | eatenBy | Brachymyrmex cordemoyi
Chamaecrista desvauxii | eatenBy | Brachymyrmex cordemoyi
Mikania itambana | eatenBy | Brachymyrmex cordemoyi
Barbacenia flava | eatenBy | Brachymyrmex cordemoyi
Chamaecrista cipoana | eatenBy | Brachymyrmex cordemoyi
Qualea cordata | eatenBy | Brachymyrmex cordemoyi
Chamaecrista ramosa | eatenBy | Brachymyrmex cordemoyi
Peixotoa tomentosa | eatenBy | Brachymyrmex cordemoyi
Byrsonima | eatenBy | Brachymyrmex cordemoyi
Dasyphyllum reticulatum | eatenBy | Brachymyrmex cordemoyi
Davilla elliptica | eatenBy | Brachymyrmex cordemoyi
Declieuxia deltoidea | eatenBy | Brachymyrmex cordemoyi
Tetrapterys microphylla | eatenBy | Pheidole triconstricta
Croton | eatenBy | Pheidole triconstricta
Gaylussacia montana | eatenBy | Pheidole triconstricta
Vellozia nivea | eatenBy | Pheidole triconstricta
Chamaecrista papillata | eatenBy | Pheidole triconstricta
Sapium glandulosum | eatenBy | Pheidole triconstricta
Davilla elliptica | eatenBy | Pheidole triconstricta
Byrsonima | eatenBy | Pheidole triconstricta
Lychnophora ramosissima | eatenBy | Pheidole triconstricta
Byrsonima | eatenBy | Pheidole oxyops
Vellozia nivea | eatenBy | Pheidole oxyops
Homoptera | interactsWith | Ectatomma tuberculatum
Thisbe irenea | interactsWith | Ectatomma tuberculatum
Guayaquila gracilicornis | interactsWith | Ectatomma tuberculatum
Apocephalus paraponerae | hasHost | Ectatomma tuberculatum
Baccharis concinna | eatenBy | Ectatomma tuberculatum
Peixotoa tomentosa | eatenBy | Ectatomma tuberculatum
Croton | eatenBy | Ectatomma tuberculatum
Sabicea brasiliensis | eatenBy | Ectatomma tuberculatum
Trigonia cipoensis | eatenBy | Ectatomma tuberculatum
Tetrapterys microphylla | eatenBy | Ectatomma tuberculatum
Erythroxylum campestre | eatenBy | Ectatomma tuberculatum
Vellozia nivea | eatenBy | Nesomyrmex
Sapium glandulosum | eatenBy | Dorymyrmex
Barbacenia flava | eatenBy | Dorymyrmex
Myrsine monticola | eatenBy | Dorymyrmex
Chamaecrista papillata | eatenBy | Dorymyrmex
Vochysia thyrsoidea | eatenBy | Dorymyrmex
Baccharis concinna | eatenBy | Dorymyrmex
Diplusodon orbicularis | eatenBy | Dorymyrmex
Microlicia fulva | eatenBy | Dorymyrmex
grazed Chrysothamnus | interactsWith | Dorymyrmex
Philodryas patagoniensis | preysOn | Ectatomma edentatum
Peixotoa tomentosa | eatenBy | Ectatomma edentatum
Remijia ferruginea | eatenBy | Dorymyrmex goeldii
Symphyopappus reticulatus | eatenBy | Dorymyrmex goeldii
Baccharis concinna | eatenBy | Dorymyrmex goeldii
Croton | eatenBy | Camponotus trapeziceps
Diplusodon orbicularis | eatenBy | Camponotus trapeziceps
Vellozia nivea | eatenBy | Camponotus trapeziceps
Triaenophora rupestris | eatenBy | Camponotus trapeziceps
Paepalanthus vellozioides | eatenBy | Camponotus trapeziceps
Aspilia jolyana | eatenBy | Camponotus trapeziceps
Vellozia alutacea | eatenBy | Camponotus trapeziceps
Baccharis concinna | eatenBy | Camponotus trapeziceps
Tetrapterys microphylla | eatenBy | Camponotus trapeziceps
Byrsonima variabilis | eatenBy | Camponotus trapeziceps
Pseudobrickellia angustissima | eatenBy | Camponotus trapeziceps
Barbacenia flava | eatenBy | Camponotus trapeziceps
Symphyopappus reticulatus | eatenBy | Camponotus trapeziceps
Byrsonima | eatenBy | Camponotus trapeziceps
Chamaecrista ramosa | eatenBy | Camponotus trapeziceps
Bernardia similis | eatenBy | Camponotus trapeziceps
Banisteriopsis angustifolia | eatenBy | Camponotus trapeziceps
Neea theifera | eatenBy | Camponotus trapeziceps
Trembleya laniflora | eatenBy | Camponotus trapeziceps
Cuphea ericoides | eatenBy | Pseudomyrmex gracilis
Chamaecrista papillata | eatenBy | Pseudomyrmex gracilis
Asclepias curassavica | pollinatedBy | Pseudomyrmex gracilis
In | interactsWith | Pseudomyrmex gracilis
gracilis and ferrugineous same thorn | interactsWith | Pseudomyrmex gracilis
Remijia ferruginea | eatenBy | Cephalotes pusillus
Symphyopappus reticulatus | eatenBy | Cephalotes pusillus
Neea theifera | eatenBy | Cephalotes pusillus
Coccoloba acrostichoides | eatenBy | Cephalotes pusillus
Chamaecrista papillata | eatenBy | Cephalotes pusillus
Barbacenia flava | eatenBy | Cephalotes pusillus
Lavoisiera confertiflora | eatenBy | Cephalotes pusillus
Palicourea rigida | eatenBy | Cephalotes pusillus
Mikania itambana | eatenBy | Cephalotes pusillus
Tetrapterys microphylla | eatenBy | Cephalotes pusillus
Hyptis | eatenBy | Cephalotes pusillus
Aspilia jolyana | eatenBy | Cephalotes pusillus
Cuphea ericoides | eatenBy | Cephalotes pusillus
Vochysia thyrsoidea | eatenBy | Cephalotes pusillus
Myrcia | eatenBy | Cephalotes pusillus
Baccharis concinna | eatenBy | Cephalotes pusillus
Syagrus glaucescens | eatenBy | Cephalotes pusillus
Trigonia cipoensis | eatenBy | Cephalotes pusillus
Lippia | eatenBy | Cephalotes pusillus
Vellozia alutacea | eatenBy | Cephalotes pusillus
Vellozia nivea | eatenBy | Cephalotes pusillus
Gaylussacia montana | eatenBy | Cephalotes pusillus
Peixotoa tomentosa | eatenBy | Cephalotes pusillus
Chamaecrista desvauxii | eatenBy | Cephalotes pusillus
Chamaecrista ramosa | eatenBy | Cephalotes pusillus
Ouratea semiserrata | eatenBy | Cephalotes pusillus
Bernardia similis | eatenBy | Cephalotes pusillus
Lychnophora ramosissima | eatenBy | Cephalotes pusillus
Miconia ferruginata | eatenBy | Cephalotes pusillus
Ruellia villosa | eatenBy | Cephalotes pusillus
Myrsine monticola | eatenBy | Cephalotes pusillus
Erythroxylum campestre | eatenBy | Cephalotes pusillus
Croton | eatenBy | Cephalotes pusillus
Byrsonima | eatenBy | Cephalotes pusillus
Chromolaena | eatenBy | Cephalotes pusillus
Paepalanthus vellozioides | eatenBy | Cephalotes pusillus
Dalbergia miscolobium | eatenBy | Cephalotes pusillus
Camptosema coriaceum | eatenBy | Cephalotes pusillus
Spigelia sellowiana | eatenBy | Cephalotes pusillus
Echinocoryne schwenkiifolia | eatenBy | Cephalotes pusillus
Trembleya laniflora | eatenBy | Cephalotes pusillus
Tibouchina cardinalis | eatenBy | Cephalotes pusillus
Kielmeyera petiolaris | eatenBy | Cephalotes pusillus
Diodella mello-barretoi | eatenBy | Cephalotes pusillus
Vellozia alata | eatenBy | Cephalotes pusillus
Diplusodon orbicularis | eatenBy | Cephalotes pusillus
Byrsonima variabilis | eatenBy | Cephalotes pusillus
Chamaecrista cipoana | eatenBy | Cephalotes pusillus
Luxemburgia schwackeana | eatenBy | Cephalotes pusillus
Banisteriopsis angustifolia | eatenBy | Cephalotes pusillus
Hyptis | eatenBy | Linepithema micans
Myrsine monticola | eatenBy | Linepithema micans
Chamaecrista papillata | eatenBy | Linepithema micans
Symphyopappus reticulatus | eatenBy | Linepithema micans
Vellozia nivea | eatenBy | Linepithema micans
Mikania neurocaula | eatenBy | Linepithema micans
Vellozia alutacea | eatenBy | Linepithema micans
Philodendron cipoense | eatenBy | Brachymyrmex pictus
Erythroxylum campestre | eatenBy | Brachymyrmex pictus
Ouratea semiserrata | eatenBy | Brachymyrmex pictus
Camptosema coriaceum | eatenBy | Brachymyrmex pictus
Vellozia nivea | eatenBy | Brachymyrmex pictus
Symphyopappus reticulatus | eatenBy | Brachymyrmex pictus
Baccharis concinna | eatenBy | Brachymyrmex pictus
Chamaecrista papillata | eatenBy | Brachymyrmex pictus
Banisteriopsis angustifolia | eatenBy | Brachymyrmex pictus
Byrsonima | eatenBy | Brachymyrmex pictus
Davilla elliptica | eatenBy | Brachymyrmex pictus
Trigonia cipoensis | eatenBy | Brachymyrmex pictus
Croton | eatenBy | Brachymyrmex pictus
Peixotoa tomentosa | eatenBy | Brachymyrmex pictus
Tibouchina cardinalis | eatenBy | Brachymyrmex pictus
Guapira noxia | eatenBy | Brachymyrmex pictus
Barbacenia flava | eatenBy | Brachymyrmex pictus
Lessingianthus warmingianus | eatenBy | Brachymyrmex pictus
Vellozia alutacea | eatenBy | Brachymyrmex pictus
Lavoisiera cordata | eatenBy | Camponotus leydigi
Kielmeyera petiolaris | eatenBy | Camponotus leydigi
Remijia ferruginea | eatenBy | Camponotus leydigi
Symphyopappus reticulatus | eatenBy | Camponotus leydigi
Baccharis concinna | eatenBy | Camponotus leydigi
Myrsine monticola | eatenBy | Camponotus leydigi
Ouratea semiserrata | eatenBy | Camponotus leydigi
Lychnophora ramosissima | eatenBy | Camponotus leydigi
Tetrapterys microphylla | eatenBy | Camponotus leydigi
Chamaecrista papillata | eatenBy | Camponotus crassus
Barbacenia flava | eatenBy | Camponotus crassus
Camptosema coriaceum | eatenBy | Camponotus crassus
Declieuxia deltoidea | eatenBy | Camponotus crassus
Vellozia alutacea | eatenBy | Camponotus crassus
Vellozia aloifolia | eatenBy | Camponotus crassus
Philodendron cipoense | eatenBy | Camponotus crassus
Myrsine monticola | eatenBy | Camponotus crassus
Trigonia cipoensis | eatenBy | Camponotus crassus
Pilosocereus cipoense | eatenBy | Camponotus crassus
Vellozia nivea | eatenBy | Camponotus crassus
Myrcia | eatenBy | Camponotus crassus
Vochysia thyrsoidea | eatenBy | Camponotus crassus
Tetrapterys microphylla | eatenBy | Camponotus crassus
Mikania itambana | eatenBy | Camponotus crassus
Guapira noxia | eatenBy | Camponotus crassus
Vellozia nanuzae | eatenBy | Camponotus crassus
Triaenophora rupestris | eatenBy | Camponotus crassus
Vellozia alata | eatenBy | Camponotus crassus
Chamaecrista ramosa | eatenBy | Camponotus crassus
Paepalanthus vellozioides | eatenBy | Camponotus crassus
Neea theifera | eatenBy | Camponotus crassus
Byrsonima variabilis | eatenBy | Camponotus crassus
Byrsonima | eatenBy | Camponotus crassus
Dasyphyllum reticulatum | eatenBy | Camponotus crassus
Baccharis concinna | eatenBy | Camponotus crassus
Lychnophora ramosissima | eatenBy | Camponotus crassus
Coccoloba cereifera | eatenBy | Camponotus crassus
Lippia | eatenBy | Camponotus crassus
Acanthaclisis occitanica | preysOn | Solenopsis fugax
Euroleon nostras | preysOn | Solenopsis fugax
Dendroleon pantherinus | preysOn | Solenopsis fugax
Gymnocnemia variegata | preysOn | Solenopsis fugax
Creoleon lugdunensis | preysOn | Solenopsis fugax
Distoleon tetragrammicus | preysOn | Solenopsis fugax
Macronemurus appendiculatus | preysOn | Solenopsis fugax
Myrmeleon formicarius | preysOn | Solenopsis fugax
Megistopus flavicornis | preysOn | Solenopsis fugax
Myrmeleon hyalinus | preysOn | Solenopsis fugax
Myrmeleon bore | preysOn | Solenopsis fugax
Zodarion italicum | preysOn | Solenopsis fugax
Zodarion rubidum | preysOn | Solenopsis fugax
Pipistrellus nathusii | preysOn | Solenopsis fugax
Emys orbicularis | preysOn | Solenopsis fugax
Atelura formicaria | parasiteOf | Solenopsis fugax
Nyctalus noctula | preysOn | Solenopsis fugax
Ursus arctos | preysOn | Solenopsis fugax
Myotis alcathoe | preysOn | Solenopsis fugax
Euscorpius italicus | preysOn | Solenopsis fugax
Cylindera germanica | preysOn | Solenopsis fugax
Euryopis flavomaculata | preysOn | Solenopsis fugax
Asagena phalerata | preysOn | Solenopsis fugax
Formica uralensis | preyedUponBy | Solenopsis fugax
Formica sanguinea | preyedUponBy | Solenopsis fugax
Formica truncorum | preyedUponBy | Solenopsis fugax
Formica rufa | preyedUponBy | Solenopsis fugax
Formica foreli | preyedUponBy | Solenopsis fugax
Formica fuscocinerea | preyedUponBy | Solenopsis fugax
Formica lugubris | preyedUponBy | Solenopsis fugax
Formica exsecta | preyedUponBy | Solenopsis fugax
Formica picea | preyedUponBy | Solenopsis fugax
Formica paralugubris | preyedUponBy | Solenopsis fugax
Formica lemani | preyedUponBy | Solenopsis fugax
Formica selysi | preyedUponBy | Solenopsis fugax
Formica bruni | preyedUponBy | Solenopsis fugax
Formica polyctena | preyedUponBy | Solenopsis fugax
Formica clara | preyedUponBy | Solenopsis fugax
Formica pressilabris | preyedUponBy | Solenopsis fugax
Formica cunicularia | preyedUponBy | Solenopsis fugax
Formica gagates | preyedUponBy | Solenopsis fugax
Formica aquilonia | preyedUponBy | Solenopsis fugax
Formica fusca | preyedUponBy | Solenopsis fugax
Formica pratensis | preyedUponBy | Solenopsis fugax
Formica forsslundi | preyedUponBy | Solenopsis fugax
Formica lusatica | preyedUponBy | Solenopsis fugax
Formica rufibarbis | preyedUponBy | Solenopsis fugax
Formica cinerea | preyedUponBy | Solenopsis fugax
Lasius citrinus | preyedUponBy | Solenopsis fugax
Lasius emarginatus | preyedUponBy | Solenopsis fugax
Lasius paralienus | preyedUponBy | Solenopsis fugax
Lasius jensi | preyedUponBy | Solenopsis fugax
Lasius distinguendus | preyedUponBy | Solenopsis fugax
Lasius alienus | preyedUponBy | Solenopsis fugax
Lasius platythorax | preyedUponBy | Solenopsis fugax
Lasius myops | preyedUponBy | Solenopsis fugax
Lasius psammophilus | preyedUponBy | Solenopsis fugax
Lasius carniolicus | preyedUponBy | Solenopsis fugax
Lasius fuliginosus | preyedUponBy | Solenopsis fugax
Lasius meridionalis | preyedUponBy | Solenopsis fugax
Lasius mixtus | preyedUponBy | Solenopsis fugax
Lasius brunneus | preyedUponBy | Solenopsis fugax
Lasius niger | preyedUponBy | Solenopsis fugax
Lasius sabularum | preyedUponBy | Solenopsis fugax
Lasius flavus | preyedUponBy | Solenopsis fugax
Lasius umbratus | preyedUponBy | Solenopsis fugax
Lasius neglectus | preyedUponBy | Solenopsis fugax
Lasius bicornis | preyedUponBy | Solenopsis fugax
Rhinolophus ferrumequinum | preysOn | Solenopsis fugax
Bubulcus ibis | preysOn | Solenopsis fugax
Rhinolophus hipposideros | preysOn | Solenopsis fugax
Pipistrellus pipistrellus | preysOn | Solenopsis fugax
Pipistrellus pygmaeus | preysOn | Solenopsis fugax
Larus canus | preysOn | Solenopsis fugax
Hypsugo savii | preysOn | Solenopsis fugax
Tadarida teniotis | preysOn | Solenopsis fugax
Myrmicinosporidium durum | pathogenOf | Solenopsis fugax
Solenopsis fugax | interactsWith | Solenopsis fugax
Formica | preyedUponBy | Solenopsis fugax
Lasius | preyedUponBy | Solenopsis fugax
Jynx torquilla | preysOn | Solenopsis fugax
Pisaura mirabilis | preysOn | Solenopsis fugax
Pipistrellus kuhlii | preysOn | Solenopsis fugax
Passer domesticus | preysOn | Solenopsis fugax
Rhynocoris annulatus | preysOn | Solenopsis fugax
Miniopterus schreibersii | preysOn | Solenopsis fugax
Salticus scenicus | preysOn | Solenopsis fugax
Philaeus chrysops | preysOn | Solenopsis fugax
Carrhotus xanthogramma | preysOn | Solenopsis fugax
Ardea alba | preysOn | Solenopsis fugax
Perdix perdix | preysOn | Solenopsis fugax
Creoleon lugdunensis | preysOn | Plagiolepis pygmaea
Megistopus flavicornis | preysOn | Plagiolepis pygmaea
Gymnocnemia variegata | preysOn | Plagiolepis pygmaea
Macronemurus appendiculatus | preysOn | Plagiolepis pygmaea
Distoleon tetragrammicus | preysOn | Plagiolepis pygmaea
Myrmeleon hyalinus | preysOn | Plagiolepis pygmaea
Acanthaclisis occitanica | preysOn | Plagiolepis pygmaea
Dendroleon pantherinus | preysOn | Plagiolepis pygmaea
Euroleon nostras | preysOn | Plagiolepis pygmaea
Myrmeleon bore | preysOn | Plagiolepis pygmaea
Myrmeleon formicarius | preysOn | Plagiolepis pygmaea
Zodarion italicum | preysOn | Plagiolepis pygmaea
Zodarion rubidum | preysOn | Plagiolepis pygmaea
Pipistrellus nathusii | preysOn | Plagiolepis pygmaea
Emys orbicularis | preysOn | Plagiolepis pygmaea
Atelura formicaria | parasiteOf | Plagiolepis pygmaea
Ursus arctos | preysOn | Plagiolepis pygmaea
Nyctalus noctula | preysOn | Plagiolepis pygmaea
Myotis alcathoe | preysOn | Plagiolepis pygmaea
Euscorpius italicus | preysOn | Plagiolepis pygmaea
Cylindera germanica | preysOn | Plagiolepis pygmaea
Asagena phalerata | preysOn | Plagiolepis pygmaea
Euryopis flavomaculata | preysOn | Plagiolepis pygmaea
Cistus salviifolius | eatenBy | Plagiolepis pygmaea
Euphorbia segetalis | pollinatedBy | Plagiolepis pygmaea
Euphorbia cyparissias | pollinatedBy | Plagiolepis pygmaea
Euphorbia prostrata | pollinatedBy | Plagiolepis pygmaea
Euphorbia virgata | pollinatedBy | Plagiolepis pygmaea
Euphorbia humifusa | pollinatedBy | Plagiolepis pygmaea
Euphorbia angulata | pollinatedBy | Plagiolepis pygmaea
Euphorbia myrsinites | pollinatedBy | Plagiolepis pygmaea
Euphorbia davidii | pollinatedBy | Plagiolepis pygmaea
Euphorbia serpyllifolia | pollinatedBy | Plagiolepis pygmaea
Euphorbia maculata | pollinatedBy | Plagiolepis pygmaea
Euphorbia helioscopia | pollinatedBy | Plagiolepis pygmaea
Euphorbia falcata | pollinatedBy | Plagiolepis pygmaea
Euphorbia dulcis | pollinatedBy | Plagiolepis pygmaea
Euphorbia palustris | pollinatedBy | Plagiolepis pygmaea
Euphorbia variabilis | pollinatedBy | Plagiolepis pygmaea
Euphorbia carniolica | pollinatedBy | Plagiolepis pygmaea
Euphorbia lathyris | pollinatedBy | Plagiolepis pygmaea
Euphorbia serpens | pollinatedBy | Plagiolepis pygmaea
Euphorbia exigua | pollinatedBy | Plagiolepis pygmaea
Euphorbia esula | pollinatedBy | Plagiolepis pygmaea
Euphorbia amygdaloides | pollinatedBy | Plagiolepis pygmaea
Euphorbia peplus | pollinatedBy | Plagiolepis pygmaea
Euphorbia nutans | pollinatedBy | Plagiolepis pygmaea
Euphorbia serrata | pollinatedBy | Plagiolepis pygmaea
Euphorbia stricta | pollinatedBy | Plagiolepis pygmaea
Euphorbia seguieriana | pollinatedBy | Plagiolepis pygmaea
Euphorbia marginata | pollinatedBy | Plagiolepis pygmaea
Euphorbia platyphyllos | pollinatedBy | Plagiolepis pygmaea
Euphorbia verrucosa | pollinatedBy | Plagiolepis pygmaea
Euphorbia chamaesyce | pollinatedBy | Plagiolepis pygmaea
Bubulcus ibis | preysOn | Plagiolepis pygmaea
Carrhotus xanthogramma | preysOn | Plagiolepis pygmaea
Rhinolophus hipposideros | preysOn | Plagiolepis pygmaea
Pipistrellus pipistrellus | preysOn | Plagiolepis pygmaea
Tadarida teniotis | preysOn | Plagiolepis pygmaea
Jynx torquilla | preysOn | Plagiolepis pygmaea
Philaeus chrysops | preysOn | Plagiolepis pygmaea
Perdix perdix | preysOn | Plagiolepis pygmaea
Hypsugo savii | preysOn | Plagiolepis pygmaea
Passer domesticus | preysOn | Plagiolepis pygmaea
Ardea alba | preysOn | Plagiolepis pygmaea
Salticus scenicus | preysOn | Plagiolepis pygmaea
Pipistrellus pygmaeus | preysOn | Plagiolepis pygmaea
Rhynocoris annulatus | preysOn | Plagiolepis pygmaea
Miniopterus schreibersii | preysOn | Plagiolepis pygmaea
Pipistrellus kuhlii | preysOn | Plagiolepis pygmaea
Larus canus | preysOn | Plagiolepis pygmaea
Pisaura mirabilis | preysOn | Plagiolepis pygmaea
Rhinolophus ferrumequinum | preysOn | Plagiolepis pygmaea
Euphorbia | pollinatedBy | Plagiolepis pygmaea
Allium subvillosum | pollinatedBy | Plagiolepis pygmaea
Cistus albidus | pollinatedBy | Plagiolepis pygmaea
Hypochaeris achyrophorus | pollinatedBy | Plagiolepis pygmaea
Allium roseum | pollinatedBy | Plagiolepis pygmaea
Phagnalon saxatile | pollinatedBy | Plagiolepis pygmaea
Cistus monspeliensis | pollinatedBy | Plagiolepis pygmaea
Foeniculum vulgare | pollinatedBy | Plagiolepis pygmaea
Asphodelus aestivus | pollinatedBy | Plagiolepis pygmaea
Diplotaxis erucoides | pollinatedBy | Plagiolepis pygmaea
Bituminaria bituminosa | pollinatedBy | Plagiolepis pygmaea
Daucus carota | pollinatedBy | Plagiolepis pygmaea
Reichardia picroides | pollinatedBy | Plagiolepis pygmaea
Galactites tomentosus | pollinatedBy | Plagiolepis pygmaea
Colchicum filifolium | pollinatedBy | Plagiolepis pygmaea
Dittrichia viscosa | pollinatedBy | Plagiolepis pygmaea
Leontodon tuberosus | pollinatedBy | Plagiolepis pygmaea
Ranunculus paludosus | pollinatedBy | Plagiolepis pygmaea
Bellis annua | pollinatedBy | Plagiolepis pygmaea
Anthemis arvensis | pollinatedBy | Plagiolepis pygmaea
Myrmicinosporidium durum | pathogenOf | Plagiolepis pygmaea
Cistus monspeliensis | visitsFlowersOf | Plagiolepis pygmaea
Convolvulus althaeoides | visitsFlowersOf | Plagiolepis pygmaea
Carpobrotus acinaciformis | visitsFlowersOf | Plagiolepis pygmaea
Cistus salviifolius | visitsFlowersOf | Plagiolepis pygmaea
Euphorbia segetalis | visitsFlowersOf | Plagiolepis pygmaea
Cistus salviifolius | pollinatedBy | Plagiolepis pygmaea
Carpobrotus acinaciformis | pollinatedBy | Plagiolepis pygmaea
Convolvulus althaeoides | pollinatedBy | Plagiolepis pygmaea
Urospermum dalechampii | pollinatedBy | Plagiolepis pygmaea
Myrmicinosporidium durum | pathogenOf | Leptothorax unifasciatus
Dendroleon pantherinus | preysOn | Plagiolepis vindobonensis
Myrmeleon hyalinus | preysOn | Plagiolepis vindobonensis
Myrmeleon formicarius | preysOn | Plagiolepis vindobonensis
Creoleon lugdunensis | preysOn | Plagiolepis vindobonensis
Acanthaclisis occitanica | preysOn | Plagiolepis vindobonensis
Megistopus flavicornis | preysOn | Plagiolepis vindobonensis
Euroleon nostras | preysOn | Plagiolepis vindobonensis
Distoleon tetragrammicus | preysOn | Plagiolepis vindobonensis
Gymnocnemia variegata | preysOn | Plagiolepis vindobonensis
Myrmeleon bore | preysOn | Plagiolepis vindobonensis
Macronemurus appendiculatus | preysOn | Plagiolepis vindobonensis
Zodarion rubidum | preysOn | Plagiolepis vindobonensis
Zodarion italicum | preysOn | Plagiolepis vindobonensis
Pipistrellus nathusii | preysOn | Plagiolepis vindobonensis
Myrmicinosporidium durum | pathogenOf | Plagiolepis vindobonensis
Passer domesticus | preysOn | Plagiolepis vindobonensis
Miniopterus schreibersii | preysOn | Plagiolepis vindobonensis
Perdix perdix | preysOn | Plagiolepis vindobonensis
Rhynocoris annulatus | preysOn | Plagiolepis vindobonensis
Salticus scenicus | preysOn | Plagiolepis vindobonensis
Pipistrellus pipistrellus | preysOn | Plagiolepis vindobonensis
Pipistrellus pygmaeus | preysOn | Plagiolepis vindobonensis
Pisaura mirabilis | preysOn | Plagiolepis vindobonensis
Tadarida teniotis | preysOn | Plagiolepis vindobonensis
Larus canus | preysOn | Plagiolepis vindobonensis
Ardea alba | preysOn | Plagiolepis vindobonensis
Hypsugo savii | preysOn | Plagiolepis vindobonensis
Jynx torquilla | preysOn | Plagiolepis vindobonensis
Bubulcus ibis | preysOn | Plagiolepis vindobonensis
Pipistrellus kuhlii | preysOn | Plagiolepis vindobonensis
Rhinolophus ferrumequinum | preysOn | Plagiolepis vindobonensis
Philaeus chrysops | preysOn | Plagiolepis vindobonensis
Carrhotus xanthogramma | preysOn | Plagiolepis vindobonensis
Rhinolophus hipposideros | preysOn | Plagiolepis vindobonensis
Cylindera germanica | preysOn | Plagiolepis vindobonensis
Euryopis flavomaculata | preysOn | Plagiolepis vindobonensis
Asagena phalerata | preysOn | Plagiolepis vindobonensis
Euscorpius italicus | preysOn | Plagiolepis vindobonensis
Nyctalus noctula | preysOn | Plagiolepis vindobonensis
Ursus arctos | preysOn | Plagiolepis vindobonensis
Myotis alcathoe | preysOn | Plagiolepis vindobonensis
Atelura formicaria | parasiteOf | Plagiolepis vindobonensis
Emys orbicularis | preysOn | Plagiolepis vindobonensis
Myrmicinosporidium durum | pathogenOf | Leptothorax recedens
Myrmicinosporidium durum | pathogenOf | Leptothorax exilis
Myrmicinosporidium durum | pathogenOf | Leptothorax lichtensteini
Myrmicinosporidium durum | pathogenOf | Leptothorax angustulus
Aspergillus flavus | pathogenOf | Atta texana
