source_taxon_name,interaction_type,target_taxon_name,study_citation,study_source_archive_uri
Paraponera,interactsWith,Ophiocordyceps,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,interactsWith,Ophiocordycipitaceae,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Paraponera clavata,interactsWith,Ophiocordyceps,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Actinobacteria,interactsWith,Tapinoma ramulorum,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acromyrmex,symbiontOf,Leucoagaricus,https://pmc.ncbi.nlm.nih.gov/articles/PMC5415117,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acromyrmex,symbiontOf,Leucoagaricus gongylophorus,https://pmc.ncbi.nlm.nih.gov/articles/PMC5415117,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,symbiontOf,Chaetothyriales,https://pmc.ncbi.nlm.nih.gov/articles/PMC4653770,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acromyrmex,eats,Deconica coprophila,https://pmc.ncbi.nlm.nih.gov/articles/PMC3679412,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,eats,Strophariaceae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3679412,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acromyrmex,eats,Deconica,https://pmc.ncbi.nlm.nih.gov/articles/PMC3679412,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Cordycipitaceae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3478247,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordycipitaceae,kills,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3118224,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Mycetomoellerius,https://pmc.ncbi.nlm.nih.gov/articles/PMC8238408,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,interactsWith,Hyphomicrobiales,https://pmc.ncbi.nlm.nih.gov/articles/PMC8060704,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Laboulbenia,pathogenOf,Lasius,https://pmc.ncbi.nlm.nih.gov/articles/PMC7648450,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Laboulbeniaceae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7648450,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Camponotus sericeiventris,https://pmc.ncbi.nlm.nih.gov/articles/PMC7274273,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Atta cephalotes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7274273,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Tubulinosematidae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7140316,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acetobacteraceae,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7042692,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acetobacteraceae,interactsWith,Camponotus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7042692,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Pandora formicae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6169396,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Burkholderiaceae,interactsWith,Cephalotes,https://pmc.ncbi.nlm.nih.gov/articles/PMC6055595,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps oecophyllae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Daceton,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Hirsutella stilbelliformis,pathogenOf,Cephalotes atratus,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps kniphofioides,pathogenOf,Daceton armigerum,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Thelohaniidae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC5997659,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Klebsiella variicola,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC4566169,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Enterobacteriaceae,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC4566169,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsioides,pathogenOf,Attini,https://pmc.ncbi.nlm.nih.gov/articles/PMC4305282,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsioides,interactsWith,Attini,https://pmc.ncbi.nlm.nih.gov/articles/PMC4305282,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Enterobacteriaceae,symbiontOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3927607,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Tetraponera,hasHost,Bacteria,https://pmc.ncbi.nlm.nih.gov/articles/PMC3695770,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-rufipedis,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3342268,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-rufipedis,pathogenOf,Camponotus rufipes,https://pmc.ncbi.nlm.nih.gov/articles/PMC3342268,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,parasiteOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3342268,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptococcaceae,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC2877093,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Lactococcus,interactsWith,Solenopsis invicta,https://pmc.ncbi.nlm.nih.gov/articles/PMC2877093,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip

# Possivelmente rastreavel (nuccore) - checagem manual
source_taxon_name,interaction_type,target_taxon_name,study_citation,study_source_archive_uri
Pseudonocardia spinosispora,hasHost,Trachymyrmex septentrionalis,http://www.ncbi.nlm.nih.gov/nuccore/290578914,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Bacillus pumilus,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584150,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Bacillus subtilis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584159,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Blastobotrys attinorum,hasHost,Atta sexdens,http://www.ncbi.nlm.nih.gov/nuccore/38230550,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Wolbachia pipientis,hasHost,Formica truncorum,http://www.ncbi.nlm.nih.gov/nuccore/12659203,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Achromobacter xylosoxidans,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/61658338,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Serratia marcescens,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/61658341,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Pseudonocardia carboxydivorans,hasHost,Trachymyrmex septentrionalis,http://www.ncbi.nlm.nih.gov/nuccore/290578915,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Wolbachia pipientis,hasHost,Linepithema humile,http://www.ncbi.nlm.nih.gov/nuccore/38327459,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Serratia symbiotica,hasHost,Formica cinerea,http://www.ncbi.nlm.nih.gov/nuccore/304281983,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Hirsutella stilbelliformis,hasHost,Myrmica rubra,http://www.ncbi.nlm.nih.gov/nuccore/310694571,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Bacillus cereus,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584163,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Staphylococcus epidermidis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584161,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Ophiocordyceps formicarum,hasHost,Camponotus obscuripes,http://www.ncbi.nlm.nih.gov/nuccore/71533151,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Cordyceps brongniartii,hasHost,Myrmica rubra,http://www.ncbi.nlm.nih.gov/nuccore/341858753,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Fusarium solani,hasHost,Atta texana,http://www.ncbi.nlm.nih.gov/nuccore/262285838,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,hasHost,Atta colombica,http://www.ncbi.nlm.nih.gov/nuccore/311708803,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Staphylococcus hominis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584148,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Bacillus thuringiensis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584160,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
